Total Electricity Consumption (A),Total Fuel Consumption (B),Energy Consumption Through Other Sources (C),Total Energy Consumption (A+B+C),Total Renewable Energy Consumption,Total Non-Renewable Energy Consumption,Energy Intensity,File Name,ATTACHMENT_x,ATTACHMENT_y
185242.85,71906.15,,173534.12,,,0.8,Avanti_Feeds_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AVANTIFEEDS_12072024192527_BRSR.pdf
868987.0,72906.0,146208.0,,,,492.4,Avenue_Supermarts_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/DMART_25072024185715_SEIntimationBRSR.pdf
59845.0,4554.0,0.0,,,,59845.0,AVT_NATURAL_PRODUCTS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AVTNPL_18072024183446_BRSR202324.pdf
7555.84,130.81,,,,,3.85,AXISCADES_Technologies_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AXISCADES_26082024145936_AxiscadesBRSRFY24.pdf
752.6,101.53,0.0,,,,8.61,Axis_Bank_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AXISBANK1_02072024133842_SEIntimationBRSR.pdf
0.0,0.0,,,,,1.0,Azad_Engineering_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AZAD2356_06092024231148_DSC.pdf
352512263.0,323154277.0,,,,,16234.0,BAJAJ_AUTO_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21062024190847_BRSR.pdf
2768.0,593.0,0.0,,,,1.0,Bajaj_Consumer_Care_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BAJAJCON_25072024131303_BCCL_BRSR_2023_24.pdf
19707.11,25182.15,4985.93,,,,0.003,BAJAJ_ELECTRICALS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BAJAJELEC_11072024171707_SignedFSEIntimationBRSR.pdf
145867.16,47834.12,,,,,3.56,Bajaj_Finance_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BAJFINANCE_27062024113554_BSENSE_BRSR_Intimation_FY24_Final.pdf
212465.0,55402.0,8.0,,,,2.45,Bajaj_Finserv_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/walimbelk_28062024180704_BFSSELetterBRSRFY2024uploading.pdf
56323.0,321253.0,0.0,,,,173.5890091,Bajaj_Healthcare_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BAJAJHCARE_06092024234920_BRSRBHL.pdf
45803.7152,27511.7051,,,,,1.0,Bajaj_Hindusthan_Sugar_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BAJAJNEAPS1_31052024152336_Business_Responsibility_Sustainability_Report_31032024.pdf
584.0,,,,,,7.61,Bajaj_Holdings_&_Investment_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BAJAJHLDNG_27062024141852_BHILIntimationBRSR.pdf
7958.0,36066.0,,,,,8.7,Bajel_Projects_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BAJEL_30072024163452_BRSR29072024sign.pdf
34921250.0,97462.0,85.0,,,,0.3856,Balaji_Amines_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BALAMINES_25062024163121_BRSR.pdf
,,,133.81,,,1.0,Balaxi_Pharmaceuticals_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BALAXI_31072024174248_Intimation.pdf
393177.0,6306710.0,,,,,15.43,BALKRISHNA_INDUSTRIES_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BALKRISIND_04072024115514_CoveringletterBRSRcombinedsigned.pdf
57.24,19417.7,0.0,,,,,Balmer_Lawrie_&_Company_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BALMLAWRIE_03092024194033_FinalSEBRSR23_24BL.pdf
3.0,,,,,,2.744,Balrampur_Chini_Mills_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BALRAMPURC_10072024001108_BCML_BRSR_2324.pdf
64298.0,5852.0,,,,,1.81,BALU_FORGE_INDUSTRIES_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BALUFORGE_06092024232849_BRSR.pdf
,,,,,,,BANARAS_BEADS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BANARBEADS_28062024163618_BRS.pdf
50817.61,1174.73,,,,,0.062,BANCO_PRODUCTS_(I)_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BANCOINDIA_22082024143607_BSENSE_BRSRDSC.pdf
6.085,0.006,,,,,1.0,Bandhan_Bank_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BANDHANBNK_29072024184908_Annual_Report_FY_2023_24_Bandhan_Bank.pdf
987447.27,72475.68,,,,,2.16690982e-05,Bank_of_Baroda_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BANKBARODA_11062024131139_NSEBRSR1006.pdf
417109.1,27829.2,,,,,,BANK_OF_INDIA_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BANKINDIA2_03062024191356_BRSR.pdf
159376.5,5389.2,,,,,,BANK_OF_MAHARASHTRA_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/MAHABANK_27052024171725_LettertoSE_BRSR.pdf
34160.0,1358683.0,0.0,,,,25.3,BANNARI_AMMAN_SUGARS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BANARISUG_30082024173001_BRSR2024SE.pdf
117994.0,54712.0,,,,,76.9,Barbeque_Nation_Hospitality_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/BARBEQUE_17072024163442_SubmissionOfBRSRFY24.pdf
